Accuracy ,0.774647887,,
neutral,,,"@talk2GLOBE @NelskiOfGlobe @MJofGlobe @KenOfGlobe @IanOfGlobe I need a littleassistance, buddies "
neutral,,,"@talk2GLOBE @NelskiOfGlobe @MJofGlobe @KenOfGlobe @IanOfGlobe I need a little assistance, buddies "
neutral,,,@eyahnism @talk2GLOBE It went through but the north Koreans intercepted it:-) 
neutral,,,@talk2GLOBE how do i deactivate my postpaid plan from out of the country? 
neutral,,,With Big 7 (minus 2) ????? (@ Globe Store - @talk2globe w/ 2 others) http://t.co/3FAZQi6UmX 
negative,,,@talk2GLOBE still unresolved 
neutral,,,Spam alert @talk2GLOBE #stopGLOBEtextspam http://t.co/58zliHyPYm 
neutral,,,@talk2GLOBE Can I use the globe locked iPhone with yes optus? 
neutral,,,@talk2GLOBE @ChrisOfGlobe not sure if 1 of my onlyn payment via CC on ur site went thru. I made 2 tranxns. I only got 1 confirmation email. 
negative,,,@talk2GLOBE please check reference # 50535067. i am being billed incorrectly after your system upgrade. this is causing so much stress. 
negative,,,@talk2GLOBE hi wanna ask the status of my postpaid plan application!? Thanks 
positive,,,@P0yt I'm sure it'll reflect on the next billing! :) @talk2GLOBE 
positive,,,"@TJSDaily @talk2GLOBE Thanks, two of my friends have been overcharged eh. I hope it does. "
negative,,,@talk2GLOBE Hello po. Can I ask po? Meron po kasing problem po sa signal ko. 
negative,,,"@talk2GLOBE no reception here in pacita 1, binan laguna... http://t.co/V23QJfEWLc "
negative,,,@talk2GLOBE Tuesday pa ako hindi maka send at receive ng text!!!! 
negative,,,@talk2GLOBE I'm having a hard time sending texts. :( whyy oh why 
positive,,,@talk2GLOBE fully paid tattoo account but not getting 3g signal. What's your US toll free number? 
negative,,,Wow @talk2GLOBE GSM na naman signal ko! Pinagiinit nyo na naman ang tuktok ko! 
negative,,,"@talk2GLOBE wala pa ri ba? Until ur subscriber gets tired calling, emailing and tweeting everyday?!!!!?!!!#globesucks #globeIncompetent "
neutral,,,@talk2globe need help on my broadband! 
neutral,,,@talk2GLOBE I can't sing up for my globe tatoo acc. Can you help me? 
neutral,,,@talk2globe everything is connected. laptop on hard wired conn. excellent connection but page keeps on loading 
negative,,,"@talk2GLOBE your ""best ever super plan"" is our worst nightmare!! Incompetent customer service reps!! "
negative,,,"Dear @talk2globe, are you having a system upgrade? I can't connect to the internet despite 3G status. "
neutral,,,"@talk2GLOBE Well, I've loaded my phone 30PHP yesterday and today. Every text I've sent consumed about 5-7PHP of the load. "
negative,,,@enjoyGLOBE Eligible ba sumali dito yung gumamit ng GCASH thru BPI Globe BanKO? :) 
negative,,,@enjoyGLOBE You have donated 10.00 of BANKO LINK to Bantay Bata Foundation Inc. on 06-08-13. Your new balance is ****. Ref no.**** 
neutral,,,@talk2GLOBE And there are also times that my load would be reduced even if I'm not doing anything. 
negative,,,@talk2GLOBE hello. I just got a new sim only plan with unlisurf999 combo. The CSR told me to wait 24-48hrs for acciunt activation 
negative,,,"@talk2GLOBE @TemOfGlobe bullshit service! called your hotline again and still nagtuturuan kayo ng store at hotline, tang ina walang kwenta "
negative,,,"@talk2GLOBE I was a Smart user. I transferred to Globe hoping for a better service. IDK, feels like I gotta hav 2 transfer 2 another network "
negative,,,@talk2GLOBE ... but I tried the sim on my phone just now and it is activated now and can surf. Does this mean my unli999 is active already? 
negative,,,@talk2GLOBE ... how do I check my balance. I tried the globe website but it says it cant find my account. 
negative,,,Hindi ko na naenjoy 3G ko! @enjoyGLOBE 
negative,,,@RolandOfGlobe @talk2GLOBE Very inconsistent ang connection !! 
positive,,,Fun fun saturday. :) #IceCream brought to us by Sir Lean :) #GoLangNgGo #HappyBirthday @ Globe Telecom÷ http://t.co/T4hATlax7b 
negative,,,Hays... four months na lang :) Makaka alis na rin ako sa Globe Postpaid! Lilipat ako ng Smart plan hehe :) @talk2GLOBE 
neutral,,,@talk2globe !!! 
neutral,,,@talk2GLOBE is billing me nearly 10k pesos for mobile data while on roaming wen i didnt use phone for intrnet. #victim #scam #consumerrights 
neutral,,,@talk2GLOBE Where are areas where I can get LTE? 
neutral,,,"@eennomeano @talk2GLOBE Good Choice, buddy! @SMARTCares "
negative,,,NTC gives Globe &  @ABSCBN the green light to co-use network infrastructure. | @enjoyGLOBE http://t.co/sLXAtoQEJN 
neutral,,,@talk2GLOBE welcome. 
positive,,,@talk2GLOBE thanks then. 
negative,,,"@JappsieLaMutach: Very unsatisfactory performance, Globe Telecom. Roughly 7 months now and you still have no accurate billing statements. "
neutral,,,"@DeniseOfGlobe,@talk2GLOBE yup! That's my phone number. "
negative,,,Connection nyo po dto sa maricaban pasay mabagal na nga mas bumagal pa.@talk2GLOBE 
neutral,,,https://t.co/OxJFRnfgtz @talk2GLOBE 
neutral,,,Oh c'mon! Let me download the Line app pls... @talk2GLOBE 
neutral,,,@talk2GLOBE Hi. I had a couple of queries for you a few minutes ago but why did you not reply? 
negative,,,@talk2GLOBE I have a problem with contacting 211 re: billing concerns. Please tweet me back. 
negative,,,Tweets Pilipinas! (Telcos) is out! http://t.co/SRnlhZyTNN ? Top stories today via @enjoyGLOBE 
neutral,,,@talk2GLOBE hi could you please check my account.. just got my billinh for cut off of 12apr to 13may.. 
positive,,,"Hi still no reply to my DM, Hi, please check status of my postpaid plan application ref no. 50521851, thanks @JenofGlobe @talk2GLOBE "
neutral,,,@talk2GLOBE I have a concern on my application for re-contracting. 
neutral,,,@talk2GLOBE yes I am still experiencing it. I still am unable to send messages to Globe networks 
neutral,,,@talk2GLOBE actually po im using TM eh? Is it applicable in using hotspot or not in tm? 
negative,,,@talk2GLOBE i'm at your globe store SM cebu. Bakit ÏEDGEÓ lang signal ko??? #frustrating http://t.co/OuqQlH8Yxq 
neutral,,,@talk2GLOBE Express Counter not so express. Might as will change it to ÏExpressÓ Counter 
neutral,,,@enjoyGLOBE is this a new modus? http://t.co/9dRvLqUK4K 
positive,,,@talk2GLOBE then inform me! i wanna get this plan asap!:) 
positive,,,paying the plan in wifi.. :)) (@ Globe Telecom) http://t.co/JhB46yq4HB 
positive,,,@talk2GLOBE ok thanks! I just tweet you after I buy a sim of globe. :)) thanks!! 
neutral,,,"@talk2GLOBE I want to know how to sing up in my blobe tatoo acc, "
neutral,,,Hello @talk2GLOBE . My concern is with my mobile data. I'm tethering my connection to my laptop. Does this affect internet speed? 
neutral,,,@KenOfGlobe @talk2GLOBE No! 
negative,,,"I registered to your bbchat 99. And it's not yet activated, until now. What's wrong? @talk2GLOBE @JoyceOfGlobe @NelskiOfGlobe "
positive,,,@talk2GLOBE okay thanks! free at what plan if for 6 months only? thanks w1 
neutral,,,"Okay. Make that 3 hours. And @talk2globe is still not replying. Bravo, Globe, bravo! "
negative,,,@enjoyGLOBE ive been a loyal subscriber for the last decade!Ive never been so disappointed and pissed!I STILL CANT RECEIVE TEXT OR CALLS!!!! 
negative,,,@straaangge Boooo! @talk2GLOBE sucks! 
neutral,,,Go ahead @talk2GLOBE keep on extending the resolution on my concern. Don't push me. SMH. #NotHappy http://t.co/fPhzT12U6e 
negative,,,"@talk2GLOBE BBSocial still not working. Can't use Twitter, Facebook, BBM, etc. Signal indicator in capital letters (EDGE). "
negative,,,@isPannchBabs Harry of Globe here. Have you checked the DMs of Talk2Globe? Could you please complete those details so we can check this? 
negative,,,Please help us gain followers. Sama-sama tayo sa umuunlad na Pilipinas! @SMARTCares @talk2GLOBE @enjoyGLOBE @suncelldeals 
negative,,,@talk2GLOBE I'm currently registered to supersurf200 but my conn is intermittent. NadDC siya kahit H+ yung naka display. Naitawag ko na to. 
neutral,,,@talk2GLOBE sinunod ko na ung mga instructions nila na i shut down at tanggalin ung batt and Sim ng unit. 
negative,,,@talk2GLOBE gumagana naman pag ganun pero nawawala pa rin siya after a few minutes Mga 2 na supersurf na ung ganito kaya ang laki ng sayang. 
negative,,,@talk2GLOBE yeah thanks coz I've been waiting for a week now... I thot it takes 5 business days :( 
neutral,,,@talk2GLOBE @MaIKenIz 
positive,,,"hi @talk2GLOBE , sent a DM. Thanks. "
neutral,,,@talk2GLOBE Hi I applied last april for a cloud bundle at a plan 599 but it was never delivered. 
neutral,,,@talk2GLOBE then all of a sudden i was sent a bill wort 9335.44 
neutral,,,Sana magka commercial sa TV ang MyrVes-The Loveteam @enjoyglobe #GoMyrVes @MyrtleGail @YourYvesFlores 
negative,,,@talk2GLOBE wtf what kind of shitty service is this??? 
neutral,,,@talk2GLOBE never did i recieved the phone i had talk about this with kirk of globe but he never did anything 
negative,,,@talk2GLOBE i had talk recently with your cc agent mel legaspi 
negative,,,@talk2GLOBE but all he can do is report this and hope that they can do something about my problem 
neutral,,,@talk2GLOBE my phone was not delivered and then i recieved a bill worth 9k 
neutral,,,@talk2GLOBE new line activation 
neutral,,,RT @itsmekimmy18: Sana magka commercial sa TV ang MyrVes-The Loveteam @enjoyglobe #GoMyrVes @MyrtleGail @YourYvesFlores 
negative,,,"@talk2GLOBE applied for a cloud bundle 699 my phone was not delivered already, talk to kirk of globe but he didnt do nothing "
neutral,,,@talk2GLOBE globe i want service and action about this... 
neutral,,,@talk2GLOBE i did just now. I am still unable to send message 
negative,,,@heaven_spawn I knooow! I don't even know why I'm still subscribing to @talk2GLOBE. Hassle. Sobra. 
neutral,,,"I'm at Globe Telecom (Tuguegarao City, Cagayan Valley) http://t.co/flvclvTe0b "
neutral,,,RT @itsmekimmy18: Sana magka commercial sa TV ang MyrVes-The Loveteam @enjoyglobe #GoMyrVes @MyrtleGail @YourYvesFlores 
negative,,,@talk2GLOBE is there any problem with the prepaid promos today? Ive been trying to register but theres no reply.. 
neutral,,,Currently using #GOUNLI @enjoyGLOBE @talk2GLOBE 
negative,,,Internet connection is uber slow again. Please do something @enjoyGLOBE 
negative,,,"I registered to your bbchat 99. And it's not yet activated, until now. What's wrong? @talk2GLOBE "
neutral,,,Amazing! @enjoyGLOBE 's signal here in Boracay is 3G! #nice 
neutral,,,RT @markeeeees: Dear @Talk2Globe wall pa run ako signal mag 3 days na po FYI 
neutral,,,@talk2GLOBE hi i applied for a cloud bundle 699 but it was never delivered then was sent a bill worth 9k 
negative,,,"@talk2GLOBE yes, i still experience the issue. what info you need from me? "
neutral,,,@talk2GLOBE account#87116016 mobile# 09178578054. look it up 
neutral,,,@enjoyGLOBE here at glorietta. It takes 5 minutes for conyents to load:-( 
neutral,,,@enjoyGLOBE a mere company that sells phone in instalments. 
neutral,,,"I'm at Globe Store - @talk2globe (Makati City, Metro Manila) w/ 2 others http://t.co/G9VoIwmEsv "
negative,,,ang bilis talaga mgtrabaho ang @enjoyGLOBE napalitan agad ung gadget ko na nasira ng anak ko 
negative,,,tokes lang ng tokes ang peg q 300pesos lang 1month unli na..nakafb pa ako! astig ng @enjoyGLOBE 
positive,,,I just want it to last for 6months. What plan can I avail @talk2GLOBE? :) 
negative,,,@enjoyGLOBE dina uso ang text ngaun ang uso call na kaya super enjoy ako sa gounli ko trenta lang yan allday tawagan na 
negative,,,laki ng natitipid ko sa BB plan ng @enjoyGLOBE kaya nakabili ako ng new gadget ko 
neutral,,,@talk2GLOBE how can i activate my lte in my s4? 
neutral,,,@enjoyGLOBE i create my internet world 
negative,,,@HarryOfGlobe hi harry. I have been waiting and monitoring for the past week.. Haven't even received any feedback from anyone.. @talk2GLOBE 
negative,,,sa @enjoyGLOBE sulit pero hindi ka tinitipid 
neutral,,,HELP! @talk2GLOBE 
negative,,,dinaig ko pa ang nakacollect call sa tipidd ng @enjoyGLOBE sarap lagi ng kwentohan namin ni ateng 
negative,,,got my free consumale calls dahil sa loadtipidcombo ng @enjoyGLOBE! parang bumalik lang sakin pinangload ko 
neutral,,,@talk2GLOBE I need action on this and I need it FAST!!! 
negative,,,unlicall and text = unlikulitan with friends and lovedabs @enjoyGLOBE 
neutral,,,sarap talaga ng kapartner ng sa negosyo ang highspeed DSL ng @enjoyGLOBE tuloy tuloy ang kita 
negative,,,"@DOTCPhilippines sir/madam, i have a refund request fr @talk2GLOBE since may 4, 2013 yet. Please help po.. #globeIncompetent "
neutral,,,"@talk2GLOBE in the online bill how can i check call charges, i want to see call summary "
neutral,,,We are painting this town blue as in GLOBE! Habol na sa UNBELIEVABLE DEALS CARAVAN here at @enjoyGlobe÷ http://t.co/zeFYO415zg 
negative,,,on my way to isabela and traveling alone buti bitbit ko bbsocial ko chill lang watching vids! bangis tlga ng @enjoyGLOBE 
negative,,,RT @nanetteprinda: laki ng natitipid ko sa BB plan ng @enjoyGLOBE kaya nakabili ako ng new gadget ko 
neutral,,,@talk2GLOBE Pwede ba magapply ng plan kahit student pa lang? 
negative,,,@TheJumarDevero @talk2GLOBE applied for a cloud plan 599 but it was never delivered then was sent a bill worth 9k globe i want action... 
neutral,,,RT @aceople: We are painting this town blue as in GLOBE! Habol na sa UNBELIEVABLE DEALS CARAVAN here at @enjoyGlobe÷ http://t.co/zeFYO415zg 
neutral,,,@enjoyGLOBE applied for a cloud bundle 599 the phone was never delivered then all of a sudden i was sent a bill worth 9k. 
negative,,,@enjoyGLOBE DO SOMETHING AND I WANT ACTION ON THIS... 
neutral,,,"@HarryOfGlobe hi harry. Don't want to put you on the spot, but if you are on my shoe, how would you feel? How will you react? @talk2GLOBE "
neutral,,,@talk2GLOBE just followed you 
neutral,,,"Globe been a week since i registered my no. For your roaming services, yet i still dont have signal @talk2GLOBE "
negative,,,@talk2GLOBE now I'm thinking twice if I'll get a postpaid plan with ur poor service tsk tsk... 
neutral,,,"Follow up please,, i need my globe no to have a signal, i tried manual selection for network but it wont connect @talk2GLOBE "
neutral,,,@enjoyGLOBE I need help and action my phone was never delivered and now i was never delivered then i recieve a bill worth 9k. i want answers 
negative,,,@enjoyGLOBE Will you do something about my problem??? 
neutral,,,@libreria04 Could you kindly provide another contact number for our reference? Kindly send it to @talk2GLOBE via DM. 
neutral,,,"@talk2GLOBE 09273200997, galaxy note 2, Putatan muntinlupa. "
negative,,,@talk2GLOBE how about my data connection issue this has been more than a week old and my subscription is about to expire i demand a refund! 
neutral,,,@enjoyGLOBE  I need help and action my phone was never delivered and now i receive a bill worth 9k. i want answers and fast response on this 
neutral,,,Now I wonder if @talk2GLOBE will also offer Nokia Lumia 920. PLS! #GlobeBaby #dontWantToSwitchToOtherProvider ! http://t.co/1veIe55EPa 
negative,,,@markeeeees wow! kahit mag complaint wala din silang gagawin asar talaga! Laging are u still having issue?p*ta @talk2GLOBE 
neutral,,,I wish @talk2globe will support google play store payment thru globe account on top of our bill. 
negative,,,@talk2GLOBE Twice na ako nag register pero 'di ako maka send. Every send ko ng SMS may may nagttext ng trans. failed tas Nakakain yung load 
neutral,,,@talk2GLOBE is there a globe store in powerplant mall? 
neutral,,,@talk2GLOBE sent you a DM 
negative,,,@markeeeees @talk2GLOBE 2 specialist na puro hanggang how can we help you tapos wala na booooh! 
neutral,,,"@jaimefocks Got that, sir. Kindly also DM @talk2GLOBE your full name & specific phone model. Were you given any reference number for this? "
neutral,,,@talk2GLOBE @talk2GLOBE can you email me my globe bill from jan2013 til now?you're billing me 9k with no bill to back it up! 
neutral,,,Rubbish service @talk2GLOBE we don't deserve this kind of service... 
negative,,,Hoping that this test result will stay consistent throughout. Thank you @talk2GLOBE http://t.co/exrgKhSbZT 
positive,,,@talk2GLOBE yes please. I will. And my apology for being so makulit with the follow ups. :) 
negative,,,@talk2globe my issue is still not resolved :( 
negative,,,@talk2GLOBE hello. I got some problems with my BB social. Can you pls help? 
negative,,,@talktoglobe @enjoyglobe globe store in sm makati tagged my load tipid plan to a different mobile no. hay! 
negative,,,@DeniseOfGlobe hi! Sent the info already to talk2globe's twitter account. I can't send u DM. Thank you! ã 
neutral,,,gang kelan kaya titino ang 3G ng @enjoyGlobe 
negative,,,@talk2GLOBE system is crawling. Kindly check Valencia Bukidnon business center please. Thanks. Cue is long. 
negative,,,"@DeniseOfGlobe hi! I can't send u DM, so I coursed it through talk2globe's twitter account. Thank you! ã "
neutral,,,@talk2GLOBE Globe ano na? Talagang di man lang kayo mag re-reply? 
neutral,,,@talk2GLOBE I would like to know if my sim card is LTE capable? This is my ICCID 8963 4123 5307 1011 9031 
negative,,,"@talk2GLOBE hi i need your response please,,  almost 5 days nako walang signal,, "
neutral,,,"@talk2GLOBE Mas ok pa siguro na mag pa TULFO o kaya IMBESTIGADOR at XXX nalang kaya ako, siguro doon pakikinggan ako!!! "
negative,,,"@talk2GLOBE Hi po, I checked my bill again today. Laki na naman po! How can this be? My GOD! Super controlled na po ako gumamit. Kaloka po! "
neutral,,,GLOBE BAKIT GANON. PLAN 499 LANG KINUHA KO PERO 1600 UNG BILL KO? @KenOfGlobe @DeniseOfGlobe @IanOfGlobe @NelskiOfGlobe @talk2GLOBE 
negative,,,@talk2GLOBE Twice na ako nag register pero 'di ako maka send. Every send ko ng SMS may may nagttext ng trans.failed tas Nakakain yung load 
negative,,,@talk2GLOBE GLOBE i want action on my queries... 
negative,,,@talk2GLOBE  I still do not have an internet connection... its been two days already since we applied for a plan.... 
neutral,,,@talk2GLOBE applied for cloud bundle 599 it was never delivered and now i have a bill worth 9k. I want a reply and action fast... 
negative,,,bat hindi pa updated ang bill sa http://t.co/WxZTQQ36rH? @talk2GLOBE 
negative,,,"@talk2GLOBE I've turned the network on and off, I've even rebooted the phone. Still nothing. "
neutral,,,@talk2GLOBE new line activation. 
neutral,,,@talk2GLOBE naka unli naman ako super25 bkit di maka call my extra load naman ako tsk tsk 
negative,,,"@talk2GLOBE when people come to your stores, be courteous enough naman to let them speak to staff personally.Bastos yung aabutan ng phone eh "
neutral,,,@talk2GLOBE DMed you. 
neutral,,,Is it possible if I surrender the handset i got from you and cut my line? @KenOfGlobe @DeniseOfGlobe @IanOfGlobe @NelskiOfGlobe @talk2GLOBE 
neutral,,,"Nyets this traffic ha! Kakalurks! Di ko bet! Nakikisali pa ang ""Edge"" na connection ng @enjoyGLOBE! "
neutral,,,@talk2GLOBE 
positive,,,@talk2globe Our postpaid bill does not have our complete home address. Can you please tweet me back so we can resolve this? Thanks. 
neutral,,,@talk2GLOBE: @BUroKHUli How may we help you today? if only globe would stop mentioning accounts w/c doesn't exist and entertain me instead 
negative,,,RT @eixopsique: @HarryOfGlobe hi harry. I have been waiting and monitoring for the past week.. Haven't even received any feedback from anyo÷ 
negative,,,Fastest speed I've picked up so far. #LTE @talk2GLOBE http://t.co/LEqYecEcoB 
neutral,,,RT @markeeeees: If this service of @talk2Globe will not improve i wouldn't mind getting back a @SmartCares line... 
negative,,,@talk2GLOBE Count the number of fups filed for this issue. You'll be surprised! 
neutral,,,"@talk2GLOBE I just want to fu my re-contract application for samsung s4 unit. I went to ur office here @ SM Rosario, Cavite "
negative,,,@talk2GLOBE can't send a message. Here: 09162949004 Please delete this right away. 
negative,,,@talk2GLOBE Globe signal sucks here in our place in Pampanga :( 
negative,,,Globe what's happening to you! We already paid our bill yet we don't have internet connection. It's been a week. @talk2globe @enjoyGlobe 
neutral,,,"@talk2GLOBE please fix your 3G connection here in San Pablo, Laguna! "
negative,,,@talk2GLOBE wala lang. ang pangit lang ng data signal and sa loob pa ng globe store nyo. very #ironic 
neutral,,,@TALK2GLOBE http://t.co/gHvfKUMMWN 
negative,,,"@talk2GLOBE hi, I'm uploading a video on youtube from my laptop and it's taking so long. It's just a 4 minute video though "
negative,,,"@talk2GLOBE I have the BB Unli mobile web 999 plan, can I transfer my sim to other non BB phone because my handset is not working anymore? "
neutral,,,"@talk2GLOBE The billing address for my Dad's phone is incomplete - the name of city is missing; street address, province, and zip code lang. "
neutral,,,"been ranting all day and no one from @talk2GLOBE even bothered to call! but of course they cant call,coz I cant receive text or calls!! "
neutral,,,@talk2GLOBE 
neutral,,,@wellafrancisco @talk2GLOBE 
negative,,,crappy globe service! they shld change their name to #deadmaangglobe coz no one from them can even talk to me for my concerns! @talk2GLOBE 
neutral,,,@talk2GLOBE that will be all. Always keep your customers in mind whenever you come up with new procedures. 
negative,,,"@talk2GLOBE it has been an ongoing and annoying problem. ur Care Reps have been very nice, but everythings been frustrating "
neutral,,,"@talk2GLOBE ive been thinking to upgrade my plan.since s4 is available in plan1799, my concern is, is it available in globe sm cebu? "
positive,,,@talk2GLOBE Thank you. :) 
neutral,,,@talk2GLOBE or is it order basis? 
positive,,,@talk2GLOBE hello Globe! To whom can I send my request for termination of my postpaid account? Thank you! 
neutral,,,@talk2GLOBE ba't di parin ako naka-roaming? May nayanggap naman akong confirmation message. 
neutral,,,@talk2GLOBE I have avail ed of the Samsung Galaxy S4 with case nr 50354836 w/c was scheduled to be delivered last May 27. 
negative,,,@talk2GLOBE but up to now I haven't heard a word from your support team. 
positive,,,@RJOfGlobe @NelskiOfGlobe Thank you! Sabi kasi nung nagcomment sa Globe Telecom sa FB offered na daw po. 
positive,,,"@talk2GLOBE it's not the phone, it's your network. If people are in your territory they expect it to have strong signal from your network :) "
neutral,,,eh kasi nakagamit ng BB Z10 sa Globe Telecom sa GMall kaya ito ngayon. I want BB Z10. Srsly ! :D 
positive,,,"@talk2GLOBE @ChrisOfGlobe okay thank you so much guys, if i need help i know i can ask both of you, right? haha "
neutral,,,@enjoyGLOBE  gud pm my sim is currently no signal and I plan to replace it but some of your branch have no stock pls.help ty 
negative,,,RT @TrulyBEA: @talk2globe is stressing the shit outta me with their over charges! ?? 
positive,,,@talk2GLOBE your company would look funny for having lousy signal in your own territory. just saying. :) 
negative,,,"Sis @PublicityAsia para walang away, ibasura mo na yang @SMARTCares at lumipat sa @enjoyGlobe pareho lang naman walang signal yang 2. HAHAHA "
neutral,,,@talk2GLOBE Cannot send you a direct msg. Cant remember the exact date. But I think it is on or after May 24. Thru AMAX. 09154242350 
neutral,,,"@talk2GLOBE 1) as i checked my email, no bill #2 was sent yet. I just rcvd bill 1 on april 12, bill 3 on may 25. If you were just frank "
neutral,,,@talk2GLOBE yes 
neutral,,,"@talk2GLOBE 2) and straightforward enough to tell me the truth, I should have paid the bills on installment basis. This has been months! "
negative,,,@RJOfGlobe Globe customer service hotline sucks. Talk2globe chat sucks. Loyalty rewards sucks. Data connectivity stinks. 
negative,,,Sawa na ko magcomplain since wala din namang solution. Kaya ayaw ko talagang mag plan kasi ayaw ko maging irate costumer! @talk2GLOBE ?? 
negative,,,@enjoyGLOBE every 3 minutes nawawalan ng connection broadband ko. why is that so? 
neutral,,,Infer Sis @PublicityAsia sa @enjoyGLOBE puro mayayaman ang nagrereklamo sa @SMARTCares puro dukha ang users eh di ba mayaman kang impakta ka 
positive,,,@talk2GLOBE thanks. 
neutral,,,I'm getting 1.5 % of what I paid for. @talk2globe 
positive,,,@enjoyGLOBE #OMGCASH what about for June 7? :) Excited lng. Lol 
positive,,,"@godzgrafia Glad to hear that. :) Should you have any concerns, kindly tweet me or @talk2GLOBE anytime. Cheers! http://t.co/wKFhjUukc0 "
negative,,,"@enjoyGLOBE oh wait, did you know that I'm having a hard time DL-ing a file? natakot ata, na DL ko na after I tweeted. "
neutral,,,"@talk2GLOBE Hi, just would like to ask why I was charged 597 pesos more for my postpaid plan? "
neutral,,,@talk2GLOBE yes I think it's the area 
positive,,,@talk2GLOBE @DeniseOfGlobe @JenOfGlobe finallyyyyy! Network signal :) thank you! 
negative,,,"@JenOfGlobe hi jen. Sim is ok now, just wanna confirm if the line has been upgradd na to plan999 with unlisurf?! Thanks.@talk2GLOBE "
negative,,,Mas marami palang tao dito. Haaay shit. (@ Globe Business Center - @talk2globe) http://t.co/x4x78g56Vn 
negative,,,"@talk2GLOBE Please look into this matter ASAP, its been a hassle to me and my job. You are making promises you cannot keep. "
neutral,,,Finally got my #GlobeBB10LTE to work! @talk2Globe http://t.co/Nj3jX0yYwb 
positive,,,Hi @talk2GLOBE sent you DM. Thank you. Hope to receive ur feedback asap :) 
negative,,,"@chammyboy congrats! So,it was a SIM problem? @talk2Globe "
negative,,,@Gan yes the original Sim they issued me was not provisioned for LTE @talk2Globe 
negative,,,@talk2GLOBE we're tired of reporting the slowness of the internet. Someone already went here to check but it's still the same. 
positive,,,@talk2GLOBE @ChrisOfGlobe okay thank you Globe Staffs :) Can i ask one more question 
negative,,,"@enjoyGLOBE pikit mata kong binayaran ang bill ko kahapon, hopefully your signal will change... "
neutral,,,So abot pala ang 4G dito sa San Mateo? Nice! @talk2GLOBE @enjoyGlobe 
neutral,,,@talk2GLOBE i want a rebate 4a month for not getting an LTE signal & for endlessly following this up several times. it was such n ordeal 
negative,,,@eoooooh hindi po eoh.. maga work na muna ako now sa globe telecom start na po ako sa monday :) 
negative,,,Hay pati pag text problema sa GLOBE? Bakit di ako makasend kanina pa? @talk2GLOBE 
positive,,,@talk2GLOBE thank you 
neutral,,,"Dear @talk2GLOBE, can I change my plan from a blackberry plan to a non-blackberry plan? "
neutral,,,They promised me that it would take 3-5days for my postpaid application to be process pero anong petsa na! @talk2GLOBE !!! 
positive,,,Okay na internet. Thanks @talk2GLOBE 
negative,,,@talk2GLOBE St lukes hospital 
neutral,,,"@talk2GLOBE I've seen it. Magkakaron ba ako ng 3G signal if I reply? Ngayon, pati text ayaw magsend!! "
negative,,,@talk2GLOBE nagiging mabagal ba talaga yung net pag may nag tetext? 
positive,,,@talk2GLOBE thanks to you too.. i am comfortable with globe :) 
neutral,,,"@talk2GLOBE Not yet. We just found it peculiar that it just said ""Laguna 4031"" rather than ""Los Banos, Laguna, 4031."" "
neutral,,,@chammyboy and they didn't know? @talk2Globe 
neutral,,,@talk2GLOBE We had to go to a Globe office to request a copy of the bill. Luckily it was just our first month with the iPhone. 
neutral,,,5th day of experiencing a ssslllooowww internet connection. @enjoyGLOBE 
positive,,,@talk2GLOBE Yes please. :) Can I PM the details? 
neutral,,,@talk2GLOBE it's wimax. 
neutral,,,@talk2GLOBE yeah. 
neutral,,,@talk2GLOBE Could you please DM me  reqs for a plan? 
negative,,,@talk2GLOBE woo astig talaga ng service nyo. medyo mabagal lang at medyo inconsistent lang. pero mapagtyatyagaan na din! lakas mo sa globe! 
negative,,,@talk2GLOBE everyday na lang. Di nyo na lang kasi putulin to para matapos na kalbaryo ko sa inyo! 
negative,,,Just found out that someone pass a total of 1K  load from my phone acct without me knowing it. WTF!!! @talk2GLOBE 
negative,,,Sim replacement (@ Globe Telecom) http://t.co/EqnDZpia46 
neutral,,,"@talk2GLOBE Most of the information is with my Dad, but I can give you the rest. "
negative,,,Is it customary for @enjoyGLOBE @talk2GLOBE to not inform your customers that their line/broadband is disconnected? Very bad service... 
neutral,,,@talk2GLOBE id like to ask why my sim isn't activated yet.... We've been following up the whole week but it's still not activated 
negative,,,@talk2GLOBE uhhh. Wala na yung sim na ginagamit kong mabagal. Tinapon ko na. 
neutral,,,"@talk2GLOBE Correct billing address: 9991 Mt. Pulog St, Umali Subdivision, Los Banos, Laguna. "
neutral,,,"@talk2GLOBE please fix your ""Unbilled Charges"" menu. I can't monitor my charges and it surpassed my limit. "
neutral,,,@DeniseOfGlobe have submitted requests after requests but no action from Globe Telecom. 
neutral,,,@talk2GLOBE I sent you the details through DM. 
neutral,,,@DeniseOfGlobe Globe Telecom just keeps on passing me around and no action on my request. 
neutral,,,@talk2GLOBE Just DM'd the details to you (and mistakenly tweeted our home address publicly) 
positive,,,@talk2GLOBE hi! Id like to request for a new globe platinum sim. Sent you DM. Thanks! 
neutral,,,@DeniseOfGlobe why does Globe Telecom keep on charging monthly fees if they have disconnected the line? 
negative,,,@poizon1vy @talk2GLOBE That should've sent warning flag to Globe already. Sana may verification system nyo if there's irregular activity. 
negative,,,@talk2GLOBE i just want to know what should i do to use the mobile internet ? coz i cant subscribe 
negative,,,@talk2GLOBE @TemOfGlobe pati dito sa tweeter 30mins bago ma CHECK yung account ko!? kung sa hotline 30mins-1hr bago ka balikan ng agent.fuck 
positive,,,@talk2GLOBE sent dms po. Please reas asap :) 
