,Word,Filipino translation,Valence,Arousal,Dominance
3961,egg,itlog,5.95,3.28,5.74
3962,egghead,"intelektwal, matalino",4.47,3.59,4.57
3963,eggnog,egnog,6,4.27,5.26
3964,eggplant,talong,5.55,3.14,5.77
3965,eggshell,balat ng itlog,5.2,3.17,4.33
3966,ego,"sarili, ego",4.38,4.17,6.05
3967,egomaniac,taong labis ang pagpapahalaga sa sarili,3.68,5.53,5.19
3968,egotistical,masyadong makasarili,3.08,5.14,5.23
3969,eight,walo,5.37,3.48,5.26
3970,eighteen,labingwalo,5.72,3.83,5.71
3971,eighty,walumpo,5.43,3.41,4.41
3972,ejaculate,"magbuga, bumuga",6,6.15,5.83
3973,ejaculation,"pagbuga, pagbulalas",5.42,6.18,5.04
3974,eject,"ibuga, ilabas",3.95,4.42,5.18
3975,ejection,paglabas,3.5,4.29,3.62
3976,El Nino,El Nino,4.29,4.09,3.52
3977,elaborate,"elaboreyt, detalyado",6.38,4.23,6.05
3978,elastic,elastiko,5.71,4.35,5.05
3979,elated,galak na galak,6.56,5.14,6.86
3980,elbow,siko,5.38,3.2,6.02
3981,elder,nakatatanda,6.11,2.5,4.14
3982,elderly,matanda-tanda,4.63,2.73,4.91
3983,elect,"halal, nahalal",5.52,4,5.43
3984,election,eleksiyon,4.5,4.23,5
3985,elective,elektib,5.38,3.54,6.35
3986,electoral,"elektoral, ng halalan",4.21,3.86,4.96
3987,electric,kuryente,6.1,4.05,5.48
3988,electric slide,de-kuryenteng islayd,6.05,4.73,5.67
3989,electrical,elektrikal,5.57,6,4.97
3990,electrician,elektrisyan,5.21,3.19,5.73
3991,electricity,elektrisidad,6.15,4.3,4.68
3992,electrocute,nakuryente,3.27,6,4.42
3993,electrocution,pagkuryente,2.45,5.76,2.5
3994,electromagnetic,elektromagnetiko,5.1,5.22,4.86
3995,electron,elekton,5.33,3.82,4.57
3996,electronic,elektroniko,6.52,3.64,5.41
3997,electronics,elektroniks,6.5,4.6,5.96
3998,elegance,dingal,6.91,4.24,6.26
3999,elegant,"maringal, elegante",7,4.43,5.95
4000,element,elemento,5.58,3.9,5
4001,elemental,"elemental, pagkatao",5.19,4.35,4.77
4002,elementary,elementarya,6.11,3.5,4.91
4003,elephant,elepante,6.17,4.23,4.23
4004,elevate,"itaas, pataasin",6.42,4.65,5.67
4005,elevation,"elebasyon, pagtataas",5.67,3.57,6.06
4006,elevator,elebeytor,5.95,3.65,4.92
4007,eleven,labing-isa,5,3.05,5.2
4008,elf,duwende,6.1,4.3,5.43
4009,elicit,"matamo, mapapagtapat",4.14,5.27,4.4
4010,eligible,"karapat-dapat, nababagay",6.45,4.81,6
4011,eliminate,"mag-alis, alisin",3.89,3.64,5.48
4012,elimination,"pag-aalis, elimisnasyon",3.86,3.35,4.33
4013,elite,elitista,5.71,5.9,5.34
4014,elitist,makamayaman,4.5,4.57,5.74
4015,elixir,"inuming may mahika, eliksir",5.68,3.95,5.43
4016,elk,,5.81,3.48,4.67
4017,elm,,6.32,3.05,5.43
4018,elope,magtanan,6.58,5.7,6.21
4019,eloquence,kahusayan sa pagsasalita o pagtatalumpati,6.76,3.91,6.46
4020,eloquent,mahusay magsalita o magtalumpati,7.16,4.61,6.37
4021,elude,"umiwas, iwasan",4.62,4,5.05
4022,elusive,mailap,4.3,4.5,4.73
4023,email,email,6,4.5,6.11
4024,emancipation,pagpapalaya,6.57,3.65,4.73
4025,embankment,"dike, pilapil",5,3.62,5.43
4026,embargo,embargo,5.05,4.59,5.45
4027,embark,"lumulan, pumasok",5.89,4.3,6.39
4028,embarrass,"manghiya, mapahiya",3.38,5.47,4.22
4029,embarrassed,nahiya,3.51,5.38,3.67
4030,embarrassing,nakahihiya,3.53,5.95,3.87
4031,embarrassment,kahihiyan,2.72,5.45,2.92
4032,embassy,embahada,5.3,3.91,5.79
4033,embattled,problematiko,4.05,4.02,4.88
4034,embezzlement,"paglustay, pagdispalko",2.95,4.67,4.18
4035,embezzler,taong lumustay o dumispalko,3.05,5.24,3.79
4036,emblem,emblem,6,2.67,5.46
4037,embodiment,"kumatawan, sagisag, pagsasama",5.72,3.78,4.91
4038,embolism,"embolismo, pagbabara ng ugat",2.14,4.17,4.05
4039,embrace,yakap,7,5.82,6.58
4040,embroidery,burda,6.53,2.85,6.05
4041,embryo,"bilig, bimhi",5.75,3.7,4.86
4042,emcee,tagapagpakilala,5.15,4.05,4.74
4043,emerald,esmeralda,7.3,5.33,6.32
4044,emerge,lumutang,5.75,4.74,6.67
4045,emergency,"biglaang pangyayari, emerhensiya",2.72,6.43,2.72
4046,emery,esmeril,4.74,3.59,5.6
4047,eminence,"kadakilaan, kabunyian",5.43,4.5,5
4048,eminent,"tanyag, dakila",5.58,4.95,5.09
4049,emissary,emisaryo,4.76,3.39,5.56
4050,emission,"emisyon, pagbubuga",4.1,3.67,4.68
4051,emit,"magbuga, ibuga",4.81,3.96,5.26
4052,emotion,emosyon,6.62,4.75,5
4053,emotional,"emosyonal, maramdamin",5.11,5.32,4.5
4054,empathize,makiisa sa kapwa,7.1,3.55,6.38
4055,empathy,pakikisa sa kapwa,7.29,3.62,5.9
4056,emperor,emperador,4.68,4.25,5.32
4057,emphasis,"empasis, diin",5.26,4.1,5
4058,emphasize,magbigay-diin,5.75,4.21,6.43
4059,emphysema,Impaysima,2.47,4.25,4.3
4060,empire,Imperyo,5.36,4.59,5.95
4061,empirical,empirikal,4.67,4.14,5.3
4062,employ,"gumamit, umupa",5.89,3.83,5
4063,employee,"kawani, empleyado",5.29,4.65,4.81
4064,employer,"maypatrabaho, employer",5.3,4.06,3.3
4065,employment,"trabaho, hanapbuhay",6,5.02,5.36
4066,emporium,emporyo,5.25,4.17,6.05
4067,empress,emperatris,4.95,3.87,6.1
4068,emptiness,kahungkagan,3.26,3.18,4.1
4069,empty,hungkag,3.78,2.25,3.61
4070,emu,,5.45,4,6.21
4071,emulate,"tumulad, pumaris",5.11,4.15,5.83
4072,enable,"magbigay, tumulong",5.13,3.95,5.45
4073,enamel,enamel,5.42,3.79,5.31
4074,enchanted,"kabigha-bighani, maengkanto",7.16,5.27,6
4075,enchanting,"napakaganda, nakabibighani",6.8,5.56,5.5
4076,enchantment,"pagbighani, paggayuma",6.8,5.29,5.22
4077,enchantress,"babaeng mangkukulam, kabigha-bighani",5.82,4.1,5.68
4078,enchilada,echilada,6.63,4.39,5.82
4079,enclosure,"paglalakip, kulungan",4.6,3.35,4.64
4080,encore,Isa pa! Babalik!,6.9,4.09,5.52
4081,encounter,"magkita, makasagupa, enkuwentro",5.16,4.67,5.3
4082,encourage,"magpasigla, palakasin ang loob",7.16,4.38,6.2
4083,encouragement,"pagpapalakas ng loob, pampasigla",6.7,5.59,6.58
4084,encouraging,"nakapagpapalakas ng loob, nakapagpapasigla",6.89,4.23,6.87
4085,encryption,enkripsiyon,5.14,4,5.32
4086,encyclopedia,ensayklopedya,6.14,5,6.48
4087,end,"dulo, katapusan",4.73,3.95,4.41
4088,end table,kabisera,5.25,2.7,4.9
4089,endanger,magsapanganib,2.67,4.72,3.95
4090,endangerment,pagsasapanganib,3,4.84,3.84
4091,endearing,mapagmahal,7.17,4.17,6.26
4092,endeavor,"magsikap, magpunyagi",6.42,4.19,5.75
4093,endgame,huling bahagi ng laro,4.23,5.26,5.32
4094,ending,"pagwawakas, katapusan, ending",4.23,4.19,4.59
4095,endless,walang katapusan,4,4.23,3.25
4096,endorse,"lumagda, irekomenda",5.2,3.17,6.45
4097,endorsement,"paglagda, pagrekomenda",6.05,3.76,5.92
4098,endowment,"pagkakaloob, pagbibigay",6,3.67,6.15
4099,endurance,pagtitiis,6.86,5.6,6.03
4100,endure,"tiisin, matagalan",4.95,3.77,6.06
4101,enduring,walang-maliw,6.67,3.36,6.37
4102,enema,paglabatiba,3.29,4.13,3.2
4103,enemy,kaaway,2.22,5.3,2.5
4104,energetic,"malakas, masigla, masigasig",7.57,6.1,5.81
4105,energize,magbigay ng lakas o sigla,7.43,6,6.55
4106,energy,"enerhiya, lakas, sigla",6.9,6.25,6.53
4107,enforce,"magpatupad, ipilit",5.32,5.3,5.49
4108,enforcement,"pagpapatupad, pagpipilit",4.67,4.48,4
4109,enforcer,tagapagpatupad,3.81,4.2,5.36
4110,engage,"umupa, pangakuan",6.6,5.28,6.42
4111,engaged,ikakasal,6.78,5.2,5.42
4112,engagement,kasunduang magpapakasal,6.65,5.19,6.29
4113,engine,makina,5.48,3.89,5.36
4114,engineer,inhenyero,5.79,4.22,6.53
4115,engineering,inhenyeriya,6,3.14,5.61
4116,engraving,pag-ukit,6.17,3.05,5.44
4117,enhance,"tumulong, magdagdag",6.62,4.04,6.58
4118,enhancement,pagdaragdag,6.29,4.39,6.22
4119,enigma,"talighaga, palaisipan, bugtong",5.35,4.65,5.18
4120,enjoy,"masiyahan, magtamasa",7.67,5,7.28
4121,enjoyable,"kasiya-siya, kawili-wili",7.63,4.77,7
4122,enjoyment,"kasiyahan, kasayahan, karapatan sa pagmamay-ari o gamit",8.37,5.48,6.56
4123,enlarge,palakihan,5.33,3.87,5.89
4124,enlargement,pagpapalaki,4.65,3.86,5.4
4125,enlighten,"magpaliwanag, paliwanagan",7.38,3.23,6.3
4126,enlightening,nakapagpapaliwanag,7,5.91,6.37
4127,enlightenment,kaliwanagan,6.79,4.52,6.5
4128,enlist,magpalista,4.42,3.71,5.58
4129,ennui,"yamot, inip",4.13,3.26,4.7
4130,enormous,"kalakihan, kalubhaan",5.68,5.05,6
4131,enraged,"nagpagalit, nagpasiklab ng galit",2.33,5.22,4.4
4132,enroll,"maglista, irehistro",5.94,4.25,5.86
4133,enrollment,"pagpapalista, pagpaparehistro, enrolment",6.19,3.76,6.05
4134,ensemble,ensemble,5.67,3.86,5.4
4135,enslave,alipinin,2.67,5.35,4.08
4136,ensure,"tiyakin, tumiyak",5.71,3.57,5.96
4137,entail,mangailangan,5.35,4.11,5
4138,enter,"pumasok, pasok",6.09,4.3,6.79
4139,enterprise,"proyekto, negosyo",6,4,5.65
4140,enterprising,malakas ang loob sa pagnenegosyo,5.52,4.33,6.2
4141,entertain,"aliwin, estimahin",7.21,5.19,6.7
4142,entertainer,"tagaaliw, tagalibang",6.48,6.15,5.31
4143,entertaining,"nakaaaliw, nakalilibang, kawili-wili",8,5.28,6.45
4144,entertainment,"aliwan, libangan",7.59,6.42,5.86
4145,enthusiasm,buong sigla o sigasig,7.14,4.18,6.69
4146,enthusiast,taong masigasig,6.65,5.91,6.89
4147,enthusiastic,masigasig,7.55,5.9,6.21
4148,entice,"humikayat, umudyok",5.33,4.42,5.15
4149,entire,"buo, lahat",5.67,2.85,5.06
4150,entirety,"kabuuan, kalahatan",5.95,3.1,6.13
4151,entitle,magbigay-karapatan,4.89,4,6.38
4152,entity,entidad,5.19,3.48,4.94
4153,entourage,pangkat,4.9,4,5.29
4154,entrails,"laman-loob, minudensiya",3.37,4.7,4.21
4155,entrance,pasukan,6.05,3.7,5.41
4156,entrapment,pagbitag,3.3,5.91,3.57
4157,entree,pagkaing inihahain pagkapos ng pamutat o apetizer,6.63,3.95,6.82
4158,entrepreneur,entreprenyur,6.14,3.68,7.67
4159,entrust,"ipagkatiwala, maghabilin",6.32,3.2,6.8
4160,entry,"pagpasok, lahok",4.95,4.41,6.37
4161,envelope,"enbelop, sobre",5.95,2.8,5.5
4162,envious,"naiinggit, nanaghili",3.52,5.1,3.86
4163,environment,kapaligiran,6.7,3.45,4.62
4164,environmental,pangkapaligiran,5.5,6.05,5.68
4165,envision,maisip,6.14,3.76,6.64
4166,envoy,sugo,4.9,3.74,4.64
4167,envy,"inggit, panaghili",3.05,4.35,3.16
4168,enzyme,enzyme,5.14,3.1,4.92
4169,epic,epiko,7.19,4.8,5.32
4170,epidemic,epidemiko,2.05,6.18,2.58
4171,epidural,edpidural,3.65,4.94,4.26
4172,epilepsy,"epilepsiya, himatay",2.7,5,2.9
4173,epileptic,"epileptiko, himatayin",3.32,4.62,4
4174,epiphany,epipaniya,7.06,4.6,5.48
4175,episode,"episodo, kabanata",5,3.67,5.4
4176,epitaph,"epitap, pahayag panglapida",4.53,3.52,5.26
4177,epitome,"perpektong halimbawa, buod,kabuuan",5.67,4.23,6.14
4178,equal,"kapantay, kapareho",6.47,3.52,6.64
4179,equality,"pagkakapantay, pagkakapareho",6.75,4.73,6
4180,equalizer,pambalanse,5.05,3.68,5.46
4181,equate,"ipantay, magpareho, pagparehohin",6.16,3.84,5.13
4182,equation,"pagpapantay, pagpapareho",5.29,3.91,5.59
4183,equator,ekwador,5.42,4.1,5.26
4184,equestrian,equestrian,5.71,3.35,5.5
4185,equilibrium,ekwilibriyum,6.32,2.5,5.68
4186,equipment,kagamitan,5.62,3.04,5.2
4187,equity,"pagkamatapat, pagkakapareho, pagkakapantay",5.41,3.91,5.65
4188,equivalent,"katumbas, katapat",5.89,3.95,5.57
4189,era,"panahon, pangyayari",5.29,3.62,4.92
4190,eradicate,"lumipol, mapuksa",3.79,5.09,4.95
4191,erase,burahin,4.89,3.55,5.42
4192,eraser,pambura,5.64,3.57,6.89
4193,erect,"derecho, nakatayo",5.79,5.43,5.7
4194,erectile,erektil,4.5,5.5,4.53
4195,erection,"pagtayo, pagtigas, ereksiyon",7.38,7.37,5.18
4196,ergo,samakatuwid,4.86,4,5.21
4197,erosion,pagkaagnas,3.79,5.86,3.91
4198,erotic,erotiko,5.83,7.27,5.9
4199,erotica,erotika,6.1,6.52,5.56
4200,err,"magkamali, maligaw",3.58,3.68,4.82
4201,errand,"lakad, sadya, ipabili",4.68,3.89,6.15
4202,errant,"gala, lagalag, paiba-iba",4.43,4.8,4.23
4203,erratic,"pamali-mali, kakatwa",3.21,5.1,4.4
4204,erroneous,"mali, namamali, di-wasto",4.38,4.64,4.07
4205,error,"kamalian, pagkakamali",3.36,4.43,4.18
4206,erupt,"pumutok, sumabog, bumuga",5.14,6.41,3.32
4207,eruption,"pagpurok, pagsabog, pagbuga",4.74,6.09,2.82
4208,escalate,"paramihin, tumaas, lumala",4.05,6.25,5.24
4209,escalating,"dumarami, tumataas, lumalala",4.76,4.5,5.58
4210,escalation,"pagdami, pagtaas, paglala, eskalasyon",4.82,4.91,4.6
4211,escalator,"Iskalador, eskaleytor",5.95,4.55,5.31
4212,escape,"takas, tumakas",5.5,4.55,5.44
4213,escort,"guwardiya, badigard, konsorte",5.35,5.32,5.63
4214,escrow,eskrow,4.56,3.11,4.38
4215,esophagus,"lalamunan, lalaugan",4.5,3.76,5.04
4216,espionage,"paniniktik, pang-iispiya",4.05,5.5,4.5
4217,espresso,espreso,6.68,5.25,6.3
4218,esquire,eskudero,5.67,2.9,5.38
4219,essay,sanaysay,4.9,4,5.55
4220,essence,"esensiya, diwa",6.75,3.86,5.62
4221,essential,esensiyal,6.26,4.3,6.3
4222,establish,"magtatag, pamalagi",5.58,3.72,6.29
4223,estate,"ari-arian, kalagayan",5.65,3.45,5.27
4224,esteem,"magpalagay, humanga",6.38,3.91,6.45
4225,esteemed,"hinahangaan, iginagalang",5.95,4.72,5.54
4226,estimate,"magpalagay, tantiyahin, kumalkula",5.95,3.41,5.43
4227,estimation,"pagtaya, pagpapalagay, paggalang",4.67,3.18,5.26
4228,estranged,"hiniwalayan, nilayuan",3.67,3.95,4.48
4229,estrogen,  ,5.22,4.45,4.2
4230,eternal,walang hanggan,6.76,3.59,5.41
4231,eternity,"kawalang-hanggan, walang-maliw",6.05,3.77,4.37
4232,ether,ether,4.63,4.81,4.26
4233,ethic,etika,6,3.57,6
4234,ethical,etikal,5.78,3.78,5.71
4235,ethics,tuntuning pangmoral,6,3.71,6.6
4236,ethnic,etniko,5.36,3.55,5.05
4237,etiquette,"etiketa, kagandahang-asal",6,3.71,5.65
4238,eucalyptus,eukalipto,6.05,3.1,5.57
4239,eulogy,"papuri, parangal",3.43,4.16,4.05
4240,euphemism,"eupemismo, pahibas",5.05,3.48,5.5
4241,euphoria,sobrang tuwa,7.26,5.68,6.73
4242,euphoric,"tuwang-tuwa, galak na galak",7.8,5.25,6.77
4243,euro,euro,5.35,3.57,5
4244,euthanasia,eutanasya,3.3,5.18,5.4
4245,evacuate,"lumikas, paglikas",3.4,5.17,3.32
4246,evacuation,paglikas,4.23,5.24,3.14
4247,evade,"umiwas, tumalilis",4.55,5.91,5.95
4248,evaluate,"magtasa, ebalweyt",5.1,3.78,6.2
4249,evaluation,"pagsusuri, paghuhusga, ebalwasyon",4.86,5.89,4.62
4250,evaporate,"sumingaw, mawala",5.4,4,4.81
4251,evasion,"pag-iwas, pagtalilis",3.36,4.77,5.25
4252,evasive,"paiwas, mailap",3.24,3.39,5.06
4253,evening,gabi,7.09,3.1,5.22
4254,evens,,5.33,3.7,4.32
4255,event,pangyayari,6.21,5.1,5
4256,eventual,sa dakong huli,5.05,3.42,4.75
4257,everlasting,walang hanggan,6.55,3.85,5.23
4258,everyday,araw-araw,5.47,3.14,5.96
4259,everyman,bawat tao,5.42,3.52,4.4
4260,evict,"magpaalis, paalisin",2.63,4.73,3.96
4261,eviction,"pagpapalayas, pagpapaalis, ebiksiyon",3,4.67,3.68
4262,evidence,"katibayan, ebidensiya",4.72,3.9,4.61
4263,evident,"maliwanag, malinaw",5.1,3.76,6.16
4264,evidentiary,ebidensiyal,4.5,4.22,4.42
4265,evil,"masama, buktot",2.34,5.67,3.6
4266,evolution,ebolusyon,5.35,6.3,4.77
4267,evolutionary,ebolusyonaryo,5.62,5.59,4.43
4268,evolve,nagbabago,5.7,4.46,5.48
4269,ex,dati,2.7,4.79,4
4270,exact,eksakto,5.58,3.95,5.7
4271,exacting,mahirap,5.42,4.45,5.11
4272,exaggerate,magpalabis,4.36,4.48,5.55
4273,exaggeration,eksaherasyon,4.19,5.8,4.84
4274,exam,"pagsusulit, eksamen",4.33,5.17,4.19
4275,examination,eksaminasyon,5.05,4.5,5.05
4276,examine,eksaminin,5.61,3.95,5.84
4277,examiner,"tagasuri, tagaiksamen",4.29,3.7,6.25
4278,example,halimbawa,4.9,3.55,6.74
4279,excavation,"pagkahukay, hukay",4.89,4.64,5.67
4280,exceed,"lumampas, dumaig",4.79,5.52,6.75
4281,excel,"manguna, dumaig",5.95,4.85,6.61
4282,excellence,"husay, kahusayan, kagalingan",7.87,5.3,7.4
4283,excellent,napakahusay,7.56,5.15,7.22
4284,excelsior,pampuno,5.95,4,5.35
4285,exception,"eksepsiyon, di-pagsasama, pagtatangi",5.25,4.35,4.12
4286,exceptional,"pambihira, katangi-tangi",7.32,5,6.32
4287,excess,"pagmamalabis, pag-abuso",4.29,5.42,5.29
4288,excessive,"labis-labis, mapag-abuso",4.37,3.73,4.04
4289,exchange,palitan,5.9,4.76,5.88
4290,excitable,magugulatin,5.68,5.43,6.55
4291,excite,"makagising, makatuwa",7.79,6.61,5.79
4292,excited,eksayted,8.11,6.43,7.33
4293,excitement,pagkatuwa,7.62,6.21,6.33
4294,exciting,"tuwang-tuwa, nakapupukaw",7.95,6.95,7.21
4295,exclamation,"eksklamasyon, bulalas",6.85,5.4,6
4296,exclude,huwag isama,3.55,4.81,4.67
4297,exclusive,eksklusibo,4.5,5,5.58
4298,excrement,dumi,2,4.64,3.38
4299,excruciating,napaksakit,2.1,5.3,3.36
4300,excursion,"pagliliwaliw, ekskursiyon",5.83,4.26,6.05
4301,excuse,dahilan,4.52,3.61,4.72
4302,exec,exec,4.86,3.71,5.55
4303,execute,"magsagawa, ipatupad, bitayin",3.94,5.79,5.04
4304,execution,"pagsasagawa, pagpapatupad, pagbitay",2.28,6,3.27
4305,executioner,"tagabitay, berdugo",2.23,6.59,3.68
4306,executive,nagpapaganap,4.95,4.32,4.95
4307,executor,nagsasagawa,3.95,5.1,5.54
4308,exemplary,uliran,5.58,4.79,6.57
4309,exempt,malaya,4.84,4.43,5.54
4310,exemption,pagkalibre,5.37,4.17,5.32
4311,exercise,"pagsasanay, ehersisyo",6.33,5.41,6.9
4312,exert,magsikap,5.47,4.64,6
4313,exhale,huminga nang palabas,6.11,3.75,6.27
4314,exhaust,"tambutso, maubos, sairin",4,4.26,4.36
4315,exhaustion,pagod na pagod,3.21,4.52,4.29
4316,exhaustive,"nakapapagod, masaklaw, lubos",4.24,4.5,4.54
4317,exhibit,eksibit,5.77,5.48,6.21
4318,exhibition,eksibisyon,5.53,5.38,5.39
4319,exhilarated,"nagpasaya, nagpalakas",6.9,6.55,6.51
4320,exhilarating,masayang-masaya,7.39,6.83,5.76
4321,exhumation,paghukay sa inilibing,2.89,4.5,4.14
4322,exhume,"humukay, hukayin",3.95,4.5,4.81
4323,exile,pagpapatapon,3.32,5.87,3.37
4324,exist,umiral,5.9,4,6.05
4325,existence,pag-iral,6.25,4.38,5.11
4326,existential,"eksistensiyal, kairalan",5.86,4.28,6.06
4327,existing,umiiral,4.83,5.05,6.46
4328,exit,"lumabas, labasan",5.35,3.18,7
4329,exodus,"paglalabasan, eksodus",4.63,4.45,5.62
4330,exonerate,pagwawalang-sala,5.44,3.83,5.82
4331,exorcism,"eksorsismo, magpalayas sa masamang espiritu",3.15,5.96,3.71
4332,exorcist,"eksorsist, nagpapalayas ng demonyo",3.76,6.29,3.8
4333,exotic,eksotiko,7.55,6.9,5.65
4334,expand,lumawak,5.35,3.3,5.43
4335,expansion,pagpapalawak,6.4,5.7,5.42
4336,expect,asahan,5.95,4.86,4.89
4337,expectancy,paghihintay,6.32,4.35,5.41
4338,expectation,"inaasahan, ekspektasyon",6.1,4.5,5.05
4339,expedient,nababagay,5.3,4.55,6.84
4340,expedite,pabilisin,6.1,4.86,5.96
4341,expedition,ekspedisyon,6.53,4.5,5.78
4342,expel,itiwalag,3.75,4.24,4.17
4343,expendable,"hindi kailangan, nauubos",3.85,5.11,4
4344,expense,gastusin,3.9,4.82,4.41
4345,expensive,mamahalin,3.36,6.1,6.21
4346,experience,karansanan,6.89,3.71,6.94
4347,experiment,eksperimento,6.05,4.86,5.7
4348,experimental,eksperimental,5.65,5.57,4.62
4349,experimentation,eksperimntasyon,6,5.52,5.48
4350,expert,eksperto,6.74,4.05,6.91
4351,expertise,kadalubhasaan,6.1,5.95,6.73
4352,expiration,"pagtapos, paglipas",3.45,4.29,3.72
4353,expire,lumipas,3.16,4,3.8
4354,explain,ipaliwanag,5.41,4,6.22
4355,explanation,paliwanag,6.38,4.05,6.14
4356,explicit,malinaw,4.82,5.23,4.18
4357,explode,sumabog,4.38,5.32,2.96
4358,exploit,kabayanihan,3.65,5.24,4.16
4359,exploitation,pagsasamantala,2.89,6.1,5
4360,exploration,eksplorasyon,6.71,5,5.36
4361,exploratory,eksploratoryo,5.95,4.29,5.88
4362,explore,"siyasatin, galugarin",7,4.05,6.52
4363,explorer,"eksplorador, manggagalugad",5.9,5.24,6.43
4364,explosion,pagsabog,3.17,6.35,3.62
4365,explosive,sumasabog,4.14,6.62,3.32
4366,expo,expo,6.26,4.43,5.11
4367,export,luwas,4.79,3.45,5.54
4368,expose,ilantad,4.14,5.89,4.24
4369,exposition,eksposisyon,5.43,4.3,5.4
4370,exposure,paglantad,4.81,5.45,5.08
4371,express,"ipahayag, mabilisan",5.53,4.79,6.57
4372,expression,"ekspresyon, pagpapahayag",6.15,4.33,6.88
4373,expressive,nagpapahayag,5.95,5.5,7.39
4374,expressway,mabilis na daanan,4.55,4.06,4.59
4375,expulsion,"sapilitang pagpapaalis, pagbubuga",2.52,4.65,3.58
4376,exquisite,napakaganda,7.53,4.59,6.55
4377,extend,palawigin,5.86,3.62,6
4378,extension,pagpapalawig,5,4.15,6.08
4379,extensive,malawak,5.25,4.75,5.71
4380,extent,lawak,5.57,3.68,5
4381,exterior,"panlabas, labasan",5.55,3.39,5.91
4382,exterminate,puksain,3.19,6.04,4.23
4383,extermination,pagpuksa,3.65,5.5,4.95
4384,exterminator,"tagalipol, tagapuksa",3.19,5.13,4.62
4385,external,"panlabas, eksternal",5.37,3,5.5
4386,extinct,patay na,2.74,4.55,3.42
4387,extinction,pagkamatay,3.1,5,3.04
4388,extinguish,mapatay,4.65,4.91,5.47
4389,extinguisher,pamatay,4.76,4.43,5.95
4390,extort,mangikil,3.19,4.48,3.48
4391,extortion,pangingikil,2.15,4.56,3.05
4392,extra,ekstra,6.39,2.9,5.72
4393,extract,"katas, kunin, bunutin",5.15,3.45,6.18
4394,extraction,"pagkatas, pagbunot",3.86,5.2,5.62
4395,extracurricular,ekstrakurikular,6.1,4.33,6.77
4396,extradition,ekstradisyon,3.68,3.45,4.17
4397,extraordinaire,"pambihira, kahanga-hanga ang kahusayan",6.84,5.88,6.55
4398,extraordinary,"pambihira, kahanga-hanga, ekstraordinaryo",7.45,4.22,6.85
4399,extraterrestrial,ekstrateritoryal,5.6,5.86,4.38
4400,extravagance,pag-aaksaya,5.74,5.4,5.79
4401,extravagant,"gastador, maaksaya",6.32,5.25,5.59
4402,extravaganza,marangyang palabas,6.89,5.52,5.83
4403,extreme,"sukdulan, lubha",5.65,6.18,5.88
4404,extremity,"dulo, kaduluhan",4.64,4.86,5.64
4405,eye,mata,6.18,3.95,5.72
4406,eyeball,balintataw,5.67,3.86,5.19
4407,eyebrow,kilay,5.26,2.91,5.33
4408,eyeful,tinging masama,5.29,5.15,5.4
4409,eyeglasses,salamin sa mata,5.09,3.39,5.68
4410,eyelash,pilik-mata,5.45,2.61,5.05
4411,eyeliner,pangguhit sa mata,6.42,3.67,5.46
4412,eyes,mga mata,6.57,3.18,5.94
4413,eyesight,paningin,6.14,3.52,6.28
4414,eyewitness,saksi,4.47,4.73,5.5
4415,fable,pabula,5.75,4.09,5.9
4416,fabled,maalamat,5.79,4.61,4.74
4417,fabric,tela,6.05,2.4,5.8
4418,fabrication,katha,4,4.11,5.8
4419,fabulous,hindi kapani-paniwala,7.84,5.15,7.25
4420,facade,"bungad, patsada",4.63,3.62,4.91
4421,face,mukha,6.36,4.59,5.96
4422,faceless,"walang mukha, di-kilala",2.58,4.1,3.91
4423,facial,pangmukha,6.24,4.55,6.09
4424,facilitate,padaliin,4.63,3.62,6.58
4425,facility,pasilidad,5.33,4,5.03
4426,fact,katunayan,6.23,3.29,6
4427,faction,"paksiyon, hidwaan",5.11,4.1,4.52
4428,factor,"dahilan, katangian, salik",4.9,3.6,4.68
4429,factory,"pabrika, pagawaan",4.95,3,5.09
4430,factual,tunay,5.89,3.18,7.13
4431,faculty,"kaguruan, kakayahan",5.63,4.86,4.87
4432,fad,uso,4.55,3.83,4.71
4433,fade,kupas,4.65,3.2,4.63
4434,fag,"magpakapagod, utusan",2.05,5.32,3.09
4435,faggot,"bakla, bading",2.32,5.68,3.63
4436,fail,"lumagpak, malaglag, bagsak",2.33,5.5,4.74
4437,failure,pagbagsak,2.15,5,5.04
4438,faint,pagkahimatay,4,3.74,3.5
4439,fair,makatarungan,7.14,3.29,6.12
4440,fairness,pagkamakatarungan,7.48,4.54,6.45
4441,fairway,daanan sa ilog,4.81,3.38,5.76
4442,fairy,diwata,6.71,5.04,6.38
4443,faith,pananampalataya,6.44,3.4,5.5
4444,faithful,"matapat, mananampalataya",7.95,4.48,7.29
4445,faithless,"walang tiwala, hindi tapat",3.57,4.1,4.57
4446,fake,peke,2.62,5.15,4.47
4447,faker,"manghuhuwad, namemeke",2.76,3.96,4.33
4448,falafel,,5.52,3.68,4.76
4449,falcon,kuyab,5.5,5,5.29
4450,fall,palkon,3.89,4.24,3.83
4451,fallacy,kamalian,4,4,3.96
4452,fallback,alternatibong plano,4.81,3.72,4.94
4453,fallopian,lagusan ng itlog,4.59,3.61,5.37
4454,fallout,nagkasira,2.84,4.55,3.45
4455,fallow,lupang hindi matamnan,4.43,3.48,5.21
4456,FALSE,mali,3.27,5.23,4.7
4457,fame,"katanyagan, kasikatan",5.45,4.63,6.27
